,sepal_length,sepal_width,petal_length,petal_width,species,predicted_species
0,5.1,3.5,1.4,0.2,Iris-setosa,Iris-setosa
1,4.9,3.0,1.4,0.2,Iris-setosa,Iris-setosa
2,4.7,3.2,1.3,0.2,Iris-setosa,Iris-setosa
3,4.6,3.1,1.5,0.2,Iris-setosa,Iris-setosa
4,5.0,3.6,1.4,0.2,Iris-setosa,Iris-setosa
5,5.4,3.9,1.7,0.4,Iris-setosa,Iris-setosa
6,4.6,3.4,1.4,0.3,Iris-setosa,Iris-setosa
7,5.0,3.4,1.5,0.2,Iris-setosa,Iris-setosa
8,4.4,2.9,1.4,0.2,Iris-setosa,Iris-setosa
9,4.9,3.1,1.5,0.1,Iris-setosa,Iris-setosa
10,5.4,3.7,1.5,0.2,Iris-setosa,Iris-setosa
11,4.8,3.4,1.6,0.2,Iris-setosa,Iris-setosa
12,4.8,3.0,1.4,0.1,Iris-setosa,Iris-setosa
13,4.3,3.0,1.1,0.1,Iris-setosa,Iris-setosa
14,5.8,4.0,1.2,0.2,Iris-setosa,Iris-setosa
15,5.7,3.0,1.5,0.4,Iris-setosa,Iris-setosa
16,5.4,3.9,1.3,0.4,Iris-setosa,Iris-setosa
17,5.1,3.5,1.4,0.3,Iris-setosa,Iris-setosa
18,5.7,3.8,1.7,0.3,Iris-setosa,Iris-setosa
19,5.1,3.8,1.5,0.3,Iris-setosa,Iris-setosa
20,5.4,3.4,1.7,0.2,Iris-setosa,Iris-setosa
21,5.1,3.7,1.5,0.4,Iris-setosa,Iris-setosa
22,4.6,3.6,1.0,0.2,Iris-setosa,Iris-setosa
23,5.1,3.3,1.7,0.5,Iris-setosa,Iris-setosa
24,4.8,3.4,1.9,0.2,Iris-setosa,Iris-setosa
25,5.0,3.0,1.6,0.2,Iris-setosa,Iris-setosa
26,5.0,3.4,1.6,0.4,Iris-setosa,Iris-setosa
27,5.2,3.5,1.5,0.2,Iris-setosa,Iris-setosa
28,5.2,3.4,1.4,0.2,Iris-setosa,Iris-setosa
29,4.7,3.2,1.6,0.2,Iris-setosa,Iris-setosa
30,4.8,3.1,1.6,0.2,Iris-setosa,Iris-setosa
31,5.4,3.4,1.5,0.4,Iris-setosa,Iris-setosa
32,5.2,3.0,1.5,0.1,Iris-setosa,Iris-setosa
33,5.5,3.0,1.4,0.2,Iris-setosa,Iris-setosa
34,4.9,3.1,1.5,0.1,Iris-setosa,Iris-setosa
35,5.0,3.2,1.2,0.2,Iris-setosa,Iris-setosa
36,5.5,3.5,1.3,0.2,Iris-setosa,Iris-setosa
37,4.9,3.1,1.5,0.1,Iris-setosa,Iris-setosa
38,4.4,3.0,1.3,0.2,Iris-setosa,Iris-setosa
39,5.1,3.4,1.5,0.2,Iris-setosa,Iris-setosa
40,5.0,3.5,1.3,0.3,Iris-setosa,Iris-setosa
41,4.5,2.3,1.3,0.3,Iris-setosa,Iris-setosa
42,4.4,3.2,1.3,0.2,Iris-setosa,Iris-setosa
43,5.0,3.5,1.6,0.6,Iris-setosa,Iris-setosa
44,5.1,3.8,1.9,0.4,Iris-setosa,Iris-setosa
45,4.8,3.0,1.4,0.3,Iris-setosa,Iris-setosa
46,5.1,3.8,1.6,0.2,Iris-setosa,Iris-setosa
47,4.6,3.2,1.4,0.2,Iris-setosa,Iris-setosa
48,5.3,3.7,1.5,0.2,Iris-setosa,Iris-setosa
49,5.0,3.3,1.4,0.2,Iris-setosa,Iris-setosa
50,7.0,3.2,4.7,1.4,Iris-versicolor,Iris-versicolor
51,6.4,3.2,4.5,1.5,Iris-versicolor,Iris-versicolor
52,6.9,3.1,4.9,1.5,Iris-versicolor,Iris-versicolor
53,5.5,2.3,4.0,1.3,Iris-versicolor,Iris-versicolor
54,6.5,2.8,4.6,1.5,Iris-versicolor,Iris-versicolor
55,5.7,2.8,4.5,1.3,Iris-versicolor,Iris-versicolor
56,6.3,3.3,4.7,1.6,Iris-versicolor,Iris-versicolor
57,4.9,2.4,3.3,1.0,Iris-versicolor,Iris-versicolor
58,6.6,2.9,4.6,1.3,Iris-versicolor,Iris-versicolor
59,5.2,2.7,3.9,1.4,Iris-versicolor,Iris-versicolor
60,5.0,3.0,3.5,1.0,Iris-versicolor,Iris-versicolor
61,5.9,3.0,4.2,1.5,Iris-versicolor,Iris-versicolor
62,6.0,2.2,4.0,1.0,Iris-versicolor,Iris-versicolor
63,6.1,2.9,4.7,1.4,Iris-versicolor,Iris-versicolor
64,5.6,2.9,3.6,1.3,Iris-versicolor,Iris-versicolor
65,6.7,3.1,4.4,1.4,Iris-versicolor,Iris-versicolor
66,5.6,3.0,4.5,1.5,Iris-versicolor,Iris-versicolor
67,5.8,2.7,4.1,1.0,Iris-versicolor,Iris-versicolor
68,6.2,2.2,4.5,1.5,Iris-versicolor,Iris-versicolor
69,5.6,2.5,3.9,1.1,Iris-versicolor,Iris-versicolor
70,5.9,3.2,4.8,1.8,Iris-versicolor,Iris-virginica
